titulo,link,data_publicacao,fonte,sim_tecnologia,sim_grupo,sim_impacto,relevante_semantico
Cerca de 90% das pessoas presas com uso de reconhecimento facial são negras,https://www.brasildefato.com.br/2019/11/27/cerca-de-90-das-pessoas-presas-com-uso-de-reconhecimento-facial-sao-negras/,27 de nov. de 2019,Brasil de Fato,0.5058036,0.6176588,0.46994635,True
Reino Unido usa reconhecimento facial ‘racista’ em passaportes,https://olhardigital.com.br/2019/10/10/noticias/reino-unido-usa-reconhecimento-facial-racista-em-passaportes/,10 de out. de 2019,Olhar Digital,0.55976665,0.45028338,0.53291035,True
O racismo por trás dos filtros do FaceApp e de outras tecnologias,https://noticias.r7.com/tecnologia-e-ciencia/o-racismo-por-tras-dos-filtros-do-faceapp-e-de-outras-tecnologias-19072019/,19 de jul. de 2019,R7,0.55197895,0.5243217,0.62247765,True
Artigo | Políticas de comunicação e racismo 18 anos após Declaração de Durban,https://www.brasildefato.com.br/2019/12/10/artigo-or-politicas-de-comunicacao-e-racismo-18-anos-apos-declaracao-de-durban/,10 de dez. de 2019,Brasil de Fato,0.23137711,0.5273094,0.61244625,True
ONU: algoritmos racistas aumentam discriminação racial por serviços de segurança,https://oglobo.globo.com/celina/onu-algoritmos-racistas-aumentam-discriminacao-racial-por-servicos-de-seguranca-24768880,29 de nov. de 2020,O Globo,0.25775042,0.51744306,0.71069276,True
"Universidade Federal de Minas Gerais - Racismo nas redes sociais é tema de entrevista no programa Expresso 104,5",https://ufmg.br/comunicacao/noticias/racismo-nas-redes-sociais-e-tema-de-entrevista-no-programa-expresso-104-5,23 de set. de 2020,UFMG - Universidade Federal de Minas Gerais,0.27256948,0.5192901,0.5994363,True
"O reconhecimento facial é racista? Uma questão para IBM, Microsoft e Amazon",https://neofeed.com.br/inovacao/o-reconhecimento-facial-e-racista-uma-questao-para-ibm-microsoft-e-amazon/,12 de jun. de 2020,NeoFeed,0.7197057,0.50104624,0.57063985,True
"Sistema de reconhecimento facial erra, e homem negro é preso por engano",https://www.uol.com.br/tilt/noticias/redacao/2020/06/25/homem-e-preso-apos-erro-de-tecnologia-de-reconhecimento-facial-nos-eua.htm,25 de jun. de 2020,UOL,0.6081041,0.55847853,0.46791276,True
Qual o impacto da tecnologia de reconhecimento facial na população negra?,https://jornal.usp.br/ciencias/qual-o-impacto-da-tecnologia-de-reconhecimento-facial-na-populacao-negra/,4 de mai. de 2021,Jornal da USP,0.7315631,0.6059866,0.43163577,True
Racismo algorítmico: a inteligência artificial a serviço da discriminação,https://www.correiobraziliense.com.br/opiniao/2021/01/4902182-racismo-algoritmico-a-inteligencia-artificial-a-servico-da-discriminacao.html,23 de jan. de 2021,Correio Braziliense,0.58782697,0.43760672,0.6492523,True
Cufa fez cadastramento facial de pessoas em favelas; tecnologia pode promover racismo,https://www.brasildefato.com.br/2021/04/26/cufa-fez-cadastramento-facial-de-pessoas-em-favelas-tecnologia-pode-promover-racismo/,26 de abr. de 2021,Brasil de Fato,0.568388,0.5556598,0.5897171,True
5 práticas antirracistas para implementar no dia a dia,https://ibdfam.org.br/noticias/8288/,22 de mar. de 2021,IBDFAM : Instituto Brasileiro de Direito de Família,0.16599599,0.6288713,0.6853229,True
Mulheres negras debatem avanços e desafios no combate ao racismo 20 anos após Durban,https://brasil.un.org/pt-br/152259-mulheres-negras-debatem-avan%C3%A7os-e-desafios-no-combate-ao-racismo-20-anos-ap%C3%B3s-durban,19 de out. de 2021,As Nações Unidas no Brasil,0.13118342,0.6302751,0.6007485,True
O algoritmo e racismo nosso de cada dia,https://piaui.folha.uol.com.br/o-algoritmo-e-racismo-nosso-de-cada-dia/,2 de jan. de 2021,Revista Piauí,0.5735622,0.45421392,0.60719687,True
"Reconhecimento facial aprofunda racismo estrutural, dizem pesquisadoras",https://cnte.org.br/noticias/reconhecimento-facial-aprofunda-racismo-estrutural-dizem-pesquisadoras-392f,13 de dez. de 2022,CNTE-CUT,0.68918544,0.575423,0.65813124,True
Reconhecimento Facial: Entenda o impacto da Inteligência Artificial na vida da população negra,https://exame.com/esg/reconhecimento-facial-entenda-o-impacto-da-inteligencia-artificial-na-vida-da-populacao-negra/,4 de out. de 2022,Exame,0.7005348,0.5520756,0.4354558,True
Racismo algorítmico: Tecnologias de reconhecimento facial se tornam um pesadelo para pessoas negras,https://www.moneytimes.com.br/racismo-algoritmico-tecnologias-de-reconhecimento-facial-se-tornam-um-pesadelo-para-pessoas-negras/,28 de jan. de 2022,Money Times,0.66257596,0.61359805,0.60707664,True
Câmeras com reconhecimento facial no Recife podem agravar racismo e ameaçar direitos,https://www.brasildefato.com.br/2022/03/21/cameras-com-reconhecimento-facial-no-recife-podem-agravar-racismo-e-ameacar-direitos/,21 de mar. de 2022,Brasil de Fato,0.5714905,0.49490318,0.514346,True
"Entenda o racismo algorítmico, que também atinge negros fora das redes",https://www1.folha.uol.com.br/tec/2022/10/entenda-o-racismo-algoritmico-que-tambem-atinge-negros-fora-das-redes.shtml,14 de out. de 2022,Folha de S.Paulo,0.35340372,0.6125432,0.7088921,True
80% das prisões errôneas por reconhecimento facial no RJ são de negros,https://agenciabrasil.ebc.com.br/radioagencia-nacional/justica/audio/2022-01/80-das-prisoes-erroneas-por-reconhecimento-facial-no-rj-sao-de-negros,12 de jan. de 2022,Agência Brasil,0.42064923,0.5957612,0.55624425,True
Prefeitura de Vitória da Conquista reforça compromisso com a luta contra a discriminação racial,https://www.pmvc.ba.gov.br/prefeitura-de-vitoria-da-conquista-reforca-compromisso-com-a-luta-contra-a-discriminacao-racial/,21 de mar. de 2022,Prefeitura Municipal de Vitória da Conquista - PMVC,0.15780522,0.6469969,0.6616287,True
Você sabe o que é preconceito algorítmico? Especialistas apontam possíveis razões e soluções para o problema,https://www.ifsudestemg.edu.br/noticias/juizdefora/2022/02/voce-sabe-o-que-e-preconceito-algoritmico-especialistas-apontam-possiveis-razoes-e-solucoes-para-o-problema,30 de mar. de 2022,IF Sudeste MG,0.55347556,0.22900058,0.5016792,True
(PDF) Racismo algorítmico: inteligência artificial e discriminação nas redes digitais,https://www.researchgate.net/publication/358278108_Racismo_algoritmico_inteligencia_artificial_e_discriminacao_nas_redes_digitais,4 de fev. de 2022,ResearchGate,0.5564277,0.37348968,0.5509242,True
"Com mais de mil prisões na BA, sistema de reconhecimento facial é criticado por 'racismo algorítmico'; inocente ficou preso por 26 dias",https://g1.globo.com/ba/bahia/noticia/2023/09/01/com-mais-de-mil-prisoes-na-ba-sistema-de-reconhecimento-facial-e-criticado-por-racismo-algoritmico-inocente-ficou-preso-por-26-dias.ghtml,1 de set. de 2023,G1,0.50274855,0.37615743,0.5214069,True
Reconhecimento facial e o racismo na segurança pública do País,https://summitmobilidade.estadao.com.br/compartilhando-o-caminho/reconhecimento-facial-e-o-racismo-na-seguranca-publica-do-pais/,16 de jun. de 2023,Summit Mobilidade,0.55980885,0.4986353,0.6146075,True
Reconhecimento facial está presente em todos os estados do Brasil,https://agenciabrasil.ebc.com.br/geral/noticia/2023-08/reconhecimento-facial-esta-presente-em-todos-os-estados-do-brasil,31 de ago. de 2023,Agência Brasil,0.7565599,0.5451819,0.20095208,True
SP: Câmera de identificação facial é vetada por risco de prática racista [18/05/2023],https://noticias.uol.com.br/politica/ultimas-noticias/2023/05/18/tribunal-suspense-cameras-reconhecimento-facial-sp.htm,18 de mai. de 2023,UOL Notícias,0.7349801,0.59459555,0.5861006,True
RJ: Jovem negro acusado por reconhecimento facial é inocentado pela terceira vez,https://www.brasildefato.com.br/2023/10/06/rj-jovem-negro-acusado-por-reconhecimento-facial-e-inocentado-pela-terceira-vez/,6 de out. de 2023,Brasil de Fato,0.52731097,0.5499244,0.49553466,True
'O que essa tecnologia está fazendo com a história?': artistas negras apontam viés racista em inteligência artificial,https://oglobo.globo.com/cultura/noticia/2023/07/09/o-que-essa-tecnologia-esta-fazendo-com-a-historia-artistas-negras-apontam-vies-racista-em-inteligencia-artificial.ghtml,9 de jul. de 2023,O Globo,0.4299139,0.5732776,0.5154389,True
Refletindo sobre Inteligência Artificial e injustiças,https://diplomatique.org.br/refletindo-sobre-inteligencia-artificial-e-injusticas/,5 de abr. de 2023,Diplomatique,0.76551497,0.3308311,0.5152181,True
Refletindo sobre Inteligência Artificial e injustiças,https://diplomatique.org.br/refletindo-sobre-inteligencia-artificial-e-injusticas/,5 de abr. de 2023,Diplomatique,0.76551497,0.3308311,0.515218,True
A Inteligência Artificial é racista? Instituto lança campanha e alerta,https://desinformante.com.br/inteligencia-artificial-racista-campanha/,30 de out. de 2023,desinformante,0.6298483,0.42040253,0.5575348,True
Ativistas negros evangélicos buscam reconhecimento e lutam contra o racismo,https://jornal.usp.br/noticias/ativistas-negros-evangelicos-buscam-reconhecimento-e-lutam-contra-o-racismo/,6 de mar. de 2023,Jornal da USP,0.15009706,0.6786277,0.55962765,True
Maior presença de negros no país reflete reconhecimento racial,https://agenciabrasil.ebc.com.br/geral/noticia/2023-12/maior-presenca-de-negros-no-pais-reflete-reconhecimento-racial,24 de dez. de 2023,Agência Brasil,0.2808565,0.78099877,0.6943142,True
10 autores negros que todo professor precisa conhecer,https://porvir.org/10-autores-negros-que-todo-professor-precisa-conhecer/,22 de mar. de 2023,PORVIR - Inovações em Educação,0.1569736,0.6603602,0.51376104,True
Movimento Negro Unificado (MNU) - História e legado,https://www.politize.com.br/movimento-negro-unificado/,14 de jan. de 2023,Politize!,0.23315196,0.8261517,0.58740294,True
Feia x bonita: como o racismo algorítmico impacta imagem de mulheres negras na internet,https://www.jb.com.br/brasil/2023/07/1045052-feia-x-bonita-como-o-racismo-algoritmico-impacta-imagem-de-mulheres-negras-na-internet.html,26 de jul. de 2023,Jornal do Brasil,0.3662976,0.54732627,0.5656853,True
Reconhecimento facial: erros expõem falta de transparência e viés racista,https://noticias.uol.com.br/cotidiano/ultimas-noticias/2024/04/28/reconhecimento-facial-erros-falta-de-transparencia.htm,28 de abr. de 2024,UOL Notícias,0.7058284,0.5435897,0.59551936,True
Reconhecimento facial: um filme de terror para os negros brasileiros,https://www.metropoles.com/colunas/rodrigo-franca/reconhecimento-facial-um-filme-de-terror-para-os-negros-brasileiros,23 de abr. de 2024,Metrópoles,0.66761065,0.68122125,0.49731314,True
