titulo,fonte,quantidade_aparicoes,link
Novo procedimento para Prisão Cautelar para Extradição,ADPF - Associação Nacional dos Delegados de Polícia Federal,1,http://adpf.org.br/adpf/admin/painelcontrole/materia/materia_portal.wsp?tmp.edt.materia_codigo=7219&wi.redirect=8OYHVE686NUUFPLQ3X6Q
Invasão de privacidade e fake news: a inteligência artificial pode vencer essa guerra,Revista Planeta,1,https://revistaplaneta.com.br/invasao-de-privacidade-e-fake-news-a-inteligencia-artificial-pode-vencer-essa-guerra
"Paulo Betti sobre acusação de ser racista: ""Podia acabar com minha vida""",Globo,1,https://revistaquem.globo.com/QUEM-News/noticia/2019/09/paulo-betti-sobre-acusacao-de-ser-racista-podia-acabar-com-minha-vida.html
25 anos Instituto Cultural Steve Biko,Revista Raça,1,https://revistaraca.com.br/25-anos-instituto-cultural-steve-biko/
"Cabelo crespo é identidade, resistência e herança ancestral",Revista Raça,1,https://revistaraca.com.br/cabelo-crespo-identidade-e-resistencia/
É importante pedir perdão aos negros e índios brasileiros,Revista Raça,1,https://revistaraca.com.br/e-importante-pedir-perdao-aos-negros-e-indios-brasileiros-2/
Eixo Afro-Digital conecta quilombos e terreiros,Revista Raça,1,https://revistaraca.com.br/eixo-afro-digital-conecta-quilombos-e-terreiros/
"Universidade Federal de Minas Gerais - Em livro, advogada discute violação de direitos de travestis e transexuais",UFMG,1,https://www3.ufmg.br/comunicacao/noticias/em-livro-advogada-discute-violacao-de-direitos-de-travestis-e-transexuais
Raça Indica: 5 livros para crianças sobre identidade e autoestima,Revista Raça,1,https://revistaraca.com.br/raca-indica-5-livros-para-criancas-sobre-identidade-e-autoestima/
Racismo: um crime premeditado,Revista Raça,1,https://revistaraca.com.br/racismo-um-crime-premeditado/
Papaiz ASSA ABLOY lança controle de acesso por biometria facial,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/?p=22531
Biometria facial deve movimentar R$ 53 bilhões em 2022,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/biometria-facial-deve-movimentar-r-53-bilhoes-em-2022/
Como a biometria está transformando o mercado de varejo,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/como-a-biometria-esta-transformando-o-mercado-de-varejo/
Como um Shopping Center brasileiro está reduzindo ocorrências com reconhecimento facial,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/como-um-shopping-center-brasileiro-esta-reduzindo-ocorrencias-com-reconhecimento-facial/
Curitiba terá câmeras de vigilância com reconhecimento facial e de veículos,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/curitiba-tera-cameras-de-vigilancia-com-reconhecimento-facial-e-de-veiculos/
Espírito Santo alcança 500 prisões por meio da tecnologia de reconhecimento facial,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/espirito-santo-alcanca-500-prisoes-por-meio-da-tecnologia-de-reconhecimento-facial/
Hikvision anuncia Terminais de Reconhecimento Facial MinMoe para controle de acesso e de presença,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/hikvision-anuncia-terminais-de-reconhecimento-facial-minmoe-para-controle-de-acesso-e-de-presenca/
Mil câmeras de monitoramento que permitem reconhecimento facial e rastreamento estão sendo implantadas em São José dos Campos (SP),Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/mil-cameras-de-monitoramento-que-permitem-reconhecimento-facial-e-rastreamento-estao-sendo-implantadas-em-sao-jose-dos-campos-sp/
Reconhecimento facial pode impedir invasão em condomínios residenciais e corporativos,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/reconhecimento-facial-pode-impedir-invasao-em-condominios-residenciais-e-corporativos/
SP está prestes a liberar câmeras com reconhecimento facial no metrô e trem,Revista Segurança Eletrônica,1,https://revistasegurancaeletronica.com.br/sp-esta-prestes-a-liberar-cameras-com-reconhecimento-facial-no-metro-e-trem/
Violência escolar aumenta nos últimos 10 anos no Brasil,Revista Pesquisa Fapesp,1,https://revistapesquisa.fapesp.br/violencia-escolar-aumenta-nos-ultimos-10-anos-no-brasil/
Diálogo afinado,Revista Pesquisa Fapesp,1,https://revistapesquisa.fapesp.br/dialogo-afinado/
Influenciadora que viralizou com a 'família preta milionária' revela críticas: 'Existe um tabu ao juntar as palavras preto e dinheiro',Globo,1,https://revistamarieclaire.globo.com/retratos/noticia/2024/10/influenciadora-que-viralizou-com-a-familia-preta-milionaria-revela-criticas-existe-um-tabu-ao-juntar-as-palavras-preto-e-dinheiro.ghtml
"Camila Pitanga fala sobre suanegritude: ""Dava um nó na cabeça das pessoas""",Globo,1,https://revistamarieclaire.globo.com/TV-Marie-Claire/noticia/2019/07/camila-pitanga-fala-sobre-sua-negritude-dava-um-no-na-cabeca-das-pessoas.html
Letalidade policial na Bahia nacionaliza debate denunciado pelos movimentos negros do estado há mais de 10 anos,Revista Afirmativa,1,https://revistaafirmativa.com.br/letalidade-policial-na-bahia-nacionaliza-debate-denunciado-pelos-movimentos-sociais-do-estado-ha-mais-de-10-anos/
"Os desafios políticos da população negra: Da escravidão à democracia, e o levante do fascismo no Brasil",Revista Afirmativa,1,https://revistaafirmativa.com.br/os-desafios-politicos-da-populacao-negra-da-escravidao-a-democracia-e-o-levante-do-fascismo-no-brasil/
Violências e falta de acolhimento seguem excluindo a comunidade trans das escolas,Revista Afirmativa,1,https://revistaafirmativa.com.br/violencias-e-falta-de-acolhimento-seguem-excluindo-a-comunidade-trans-das-escolas/
Biometria facial: entenda a tecnologia e se há riscos do uso em condomínios,Casa e Jardim,1,https://revistacasaejardim.globo.com/tecnologia/noticia/2024/07/biometria-facial-entenda-a-tecnologia-e-se-ha-riscos-do-uso-em-condominios.ghtml
Falsa médica e branca: o peso da cor na credibilidade profissional,REVISTA CENARIUM,1,https://revistacenarium.com.br/falsa-medica-e-branca-o-peso-da-cor-na-credibilidade-profissional/
Mulheres negras atuam como influenciadoras digitais e levam representatividade às redes,REVISTA CENARIUM,1,https://revistacenarium.com.br/mulheres-negras-atuam-como-influenciadoras-digitais-e-levam-representatividade-as-redes/
Quilombo acusa amo do Boi Garantido de racismo recreativo,REVISTA CENARIUM,1,https://revistacenarium.com.br/quilombo-acusa-amo-do-boi-garantido-de-racismo-recreativo/
Corpos marcados para morrer,Revista CULT,1,https://revistacult.uol.com.br/home/corpos-marcados-para-morrer/
Europa: Homonacionalismo e racismo,Revista CULT,1,https://revistacult.uol.com.br/home/europa-homonacionalismo-e-racismo/
Cambistas burlam sistemas de reconhecimento facial nos estádios,Blog do Ricardo Antunes,1,https://ricardoantunes.net/cambistas-burlam-sistemas-de-reconhecimento-facial-nos-estadios/
"Quem é Maria Beatriz Nascimento, intelectual negra incluída no Livro dos Heróis e Heroínas",Revista Fórum,1,https://revistaforum.com.br/cultura/2023/10/31/quem-foi-maria-beatriz-nascimento-intelectual-negra-incluida-no-livro-dos-herois-heroinas-146935.html
Sete teses sobre a peculiaridade da desigualdade social brasileira,Revista Fórum,1,https://revistaforum.com.br/opiniao/2020/7/29/sete-teses-sobre-peculiaridade-da-desigualdade-social-brasileira-79858.html
Traços de câncer são encontrados em múmia egípcia de 2 mil anos,Globo,1,https://revistagalileu.globo.com/Ciencia/Arqueologia/noticia/2022/07/tracos-de-cancer-sao-encontrados-em-mumia-egipcia-de-2-mil-anos.html
Como a discriminação da comunidade LGBTQIA+ se associa à crise climática,Globo,1,https://revistagalileu.globo.com/Ciencia/Meio-Ambiente/noticia/2021/06/como-discriminacao-da-comunidade-lgbtqia-se-associa-crise-climatica.html
13 livros sobre racismo que vão te ajudar a lutar contra o preconceito,Globo,1,https://revistagalileu.globo.com/Cultura/Livros/noticia/2020/06/13-livros-sobre-racismo-que-irao-te-ajudar-lutar-contra-o-preconceito.html
Alexandre Dumas: saiba mais sobre o autor de 'Os Três Mosqueteiros',Globo,1,https://revistagalileu.globo.com/Cultura/noticia/2018/07/alexandre-dumas-saiba-mais-sobre-o-autor-de-os-tres-mosqueteiros.html
