data_publicacao,titulo,link
2024-11-19 08:00:00,Soldado do Exército é parado pela PM para checagem e liberado após reconhecimento facial o apontar por engano como foragido - G1,https://news.google.com/rss/articles/CBMitAFBVV95cUxOb2hHT0pLR2ZWbHN6YUN3ajdiX3NFbWVsS2xNR1FESFpHbS1aNEV2SU5HY0VnbF9Bb0VnRHh5aENXdkU5YmlIZ1hOaDV4TGV5cEdhNXpHdUJkMC16eUx0WXI4eHYweHE4cXBlUXBJamJRdE1ZMHAzaFVzRC1jTXFZZnU3TTAtS19lNXV1TEctYVlNNU1PcHN3R0RTeWtySHFoOXhOcmp5VkpaMWZ3RFJYWHNFSEvSAcMBQVVfeXFMTkh2UHlJc0dicFVKUEU2YXRTU2F5NWo1UEg0RGZLRGhoSVJQTDdXdFo4d2xRQ0lEQ1JZdlBDZ0FYdFJGaUxnQWFtSndPMmJyUWNQQXFIMjBKVlFCZVFuM0ROeEZDU21HYUU3N0dGcGthRmNQNWgtdHFHeWdKdVFoamVTZDc2a0dEZVRCenRabEFKT0tBdXFNNm50b0N5Wm9KUGw1VVNiV0ZPQ3lOYkdTN1ZSd2ZiLWlyUUlUSnZlTExRNXAw?oc=5
2024-09-04 07:00:00,"Abordagens por reconhecimento facial têm 10% de falsos positivos, diz PM na Alerj - Brasil de Fato",https://news.google.com/rss/articles/CBMiwAFBVV95cUxNbkVTRGljMVBsN1ZjWlJoMkRnUnpVN1l4WTlfeTJ5bW81dlB2bXJUNGtRYzQ0VXpnTWM1Z0c4MXlIeXlJYjVNd2h0NDlMV1g4VVREOEdyc2Z2azNKdTdWWkJCZ3o4TzZVeWY2RkxhTnprN2NtUDNjOVdfV1N3SlhSRW41MlRLdGxJTTJMOWNrX3M3Tl90ZnBOZE44WC1STl9PVmJoaGxrdjJuZ2M0eWpHeUI0dE94SlVMMW1wbjc4Rks?oc=5
2024-05-27 07:00:00,Governo do Estado de Pernambuco - Notícias - sds.pe.gov.br,https://news.google.com/rss/articles/CBMitAFBVV95cUxPcjZDdTlEZVJtN1RfbmRlR3BLMUdPODdvVUMxeHRUNDBUTS1ISjR4VmlSbFQ3bUd5R1Z3RWtPa05zcmltUTl0bmkyX2tzRHBza25GMkxLcDNBV1dxWm5rVE51TTEyMmlXV1JZVzZlMDJQb3pGTXpIbFVKV25QYjVUQTJtaFV2cDhyeHc2WmpWUkkzRUh1UnFCbnBQU0E4R25KVUhKN1laRVAtNzRTRElBblNfbVA?oc=5
2024-05-17 07:00:00,"Sem regulação, estados prendem centenas usando biometria facial - Consultor Jurídico",https://news.google.com/rss/articles/CBMirwFBVV95cUxOZWpGMlN0UzV2ZWZzQTdaVkxNN2UyMFRBUUtlZFhfa1djMzBITTZfaXRmSGxkQjVwandwd1F4bFVJSXIwOGFDNEZHNnNZNHRPQW4zcDZsTWlQUzVvdl9DZGNTYjlkV2t6XzdfSFBqZXdoclZuZjMtWUFJU043cjdJdzQ0c0JnS2M3Z0UtTEpQYUdHYWIzckpoWUx3N05icmE0VXgxN3NPRnlXMDlhMFpZ?oc=5
2024-05-16 07:00:00,Como a ciência inocentou um homem condenado por 10 estupros que estava preso há 12 anos - Revista Fórum,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQY0dFTXdzYllYX2dNYmVzSVZRb0V5dlJJbjBiX2IyWWRqay1iOTcwOHFiR194cmEya0pCdlpHVG1UNjRVbW90czRZdnVSXy12aGFnekxXcGMwcENoQVNfa1ROdnk4YTRGUW1VOHMzU3FWVjN2cFBVbG9xcElwSGZmTmdBU0RpOFhzRklSQkZvWGx4dmREUkNsZ1dVdXVDNXU5WVgzZXVoTjc3LTJJOEkwaElpdE1OM1FqRG9VbU9DTk1nVV85Z1dNY3ZtT3FXZTFwT2JtZ19zN0vSAdgBQVVfeXFMUGNHRU13c2JZWF9nTWJlc0lWUW9FeXZSSW4wYl9iMllkamstYjk3MDhxYkdfeHJhMmtKQnZaR1RtVDY0VW1vdHM0WXZ1Ul8tdmhhZ3pMV3BjMHBDaEFTX2tUTnZ5OGE0RlFtVThzM1NxVlYzdnBQVWxvcXBJcEhmZk5nQVNEaThYc0ZJUkJGb1hseHZkRFJDbGdXVXV1QzV1OVlYM2V1aE43Ny0ySThJMGhJaXRNTjNRakRvVW1PQ05NZ1VfOWdXTWN2bU9xV2UxcE9ibWdfczdL?oc=5
2024-04-28 07:00:00,Reconhecimento facial: erros expõem falta de transparência e viés racista - UOL Notícias,https://news.google.com/rss/articles/CBMivAFBVV95cUxNSUlQaWJmbFVENWFRN3k5V3VGTjVoaVJ2REk2S2RvTXZhVTVqVlpMYy1oNExJVHVqUkI4cmVjZGxNMEtYOFVydHlES0FEZENaWkttWjVTMzlEQ1NPa1pXZHZHaDJqN0QtWWhMa1BWTnY1bWtnTHFNU3ZHejJSX2RfR0tUVEczU015SlVleFlkNng1WFBOUTZfWE1VeE5PX3g1Rzl2SnRzSmdlNG5tS1NnMU1mV3Z1X3BvTUE1eQ?oc=5
2024-04-21 07:00:00,"‘Medo, frustrado e constrangido', diz homem detido por engano em estádio após erro do sistema de reconhecimento facial - G1",https://news.google.com/rss/articles/CBMigAJBVV95cUxOZGJ1ekxudnlITTkybF9PUzZYV1dpc0tQTXd4bktzZzlRNmp5RVB2Wlp4S05FX2kxeFRkUVROdG8tWTA1M2VBbUczWUl1bVZpNmlXOE92alZ2TmQ0RldnQTFHeVBOVEVROEl1WU5MSVM3d3lUVEhRTThXTmtCcHlIMjJFb2MxUHMwZVBnOTJsMi1tWG4yaFNkUy12enM4OW4wQ2FlVWcwbUJqQ1lWYXJRUmlaTHk1YkFwS3E0c2pCNV9FbWU2d1Bub2haWHZMUUMtckVDLVlrRXc2bU54WWMtRnZBbnl1ZnFUNUpQVXFWdTU2Y1V6NUdFWXIwemRZY0Jp0gGPAkFVX3lxTE1NS2htdEtNSG50cld2X1c1SW5rdC1taWl0TDZnWnp1d21wWTlXSkNEYWcyd2IwV3JuZGdKQkpDaW5aMUNIX1VES3ZlTHR4dEtsVm5LZUxaWGRWZVZ0TlJLb0V4bmNlOFpRY0ZLcVl4bDI3eWFSbmxLSGtaaHhkMEVTcUNDQzFOcTAyS29hZWZWdDZxLWlDc05lS3lDV0ltQWMtV1N0MXlZSkppWDVsMjRua0hzcmtZdEFjZEk2NXhWR2ltVDZndllkZkFzbElIck1wOVM0T1hNMDJ4dy1yVHhYbnFPRnZoemxKNXIzUElIVldrQnhBOUk3RE95N3hLQWh0R0o0ZkpPYTJlcGJIYms?oc=5
2024-04-19 07:00:00,Erros em série expõem fragilidade do reconhecimento facial como ferramenta de combate ao crime - CartaCapital,https://news.google.com/rss/articles/CBMi1AFBVV95cUxQa1JVTDZia0xuQmVRRkVHQWJFdTRoT09VbTIwZ2FWVGpKQ2hIYjFsOHBRR3NXcV9RclRhNDRyTHVWeUxxZ1A0ZnlwT1dfMEJLb09rYVZtVW8xLWdhN21YdnRtQ3dLLTc3M2V4dU9OT19lUHFDN2pVdGNudm1lamlGSVZudnRjbHJodi1NSmpWQkQxaWJoT29GZWJ1MEZDTnVtYWtQTzBZR0dSNXJ5VE92Z2Q3aW9sVzdWdTIyYVNfWDljX2RXaGpzWnBNSEdVcU95bEtMNg?oc=5
2024-01-25 08:00:00,Sistema de reconhecimento facial para prender tem viés racista e gera erros - Ministério Público do Estado de Mato Grosso,https://news.google.com/rss/articles/CBMiuwFBVV95cUxNRkU3ZXBCaXhpeExnV1VEUWZ0UGk2TFVTV2lYWnNpNk9GV2s1QnA1RG5DbW5zOUJOM2s5QTNNS3h4cU4wRHdhckxSejVVTlF6b3g3SUNKWmgxaW1UR19KdEI4ZjRNdzdHejNoemV4SWZTcy1XSHhjb3dtdWE4aHVwY3BIelN6SURSWFRsTC12Y05NRXhYUjJZN1FFOFk0eE1SWEs5Q1puZjNZY0Nvd3g0SVpxM1ZybnJKVDNZ?oc=5
2024-01-06 08:00:00,"Por problemas na base de dados de mandados de prisão, advogado recomenda a seus clientes andarem com decisão de liberdade no bolso - O Globo",https://news.google.com/rss/articles/CBMihwJBVV95cUxNUjREemVadG9wWmNtb29hNE5fa0J3TEFiaFJYN3hiVFl6eEJuZlhsOXlGdmFoQ01CTGlGZkVDUzNCbGtQY0JFYmFDMXZxNnRVX2c5Tng0dVlaUUdOSG5OUmZXR0F2UDRXMWpNT0ZXM21uZnBvUnlzVGhhMUZCTXdxdzE4RkxlT1pwWVRyazVybkt0RG5zZGd6N0N2b2QxY045aG9LekF6bWU1WW1zR2VlNjA0MlhzVUV2dFJCcVRNZ2E3cllwZ2llLUZTbHZ3T0pqTkctUktxMnJFdUNGbGtvMHdKQ2RISEQzT1RyekI3VG1IcjZzckx6RlQ4cjdINTlRMHRMV2JUTdIBlgJBVV95cUxQanNlVlhpeVlBT1hOMFltajhmYkoxUGxJM0JZWGJjR1o2MUtGTk8zNE5IcVBrcGhXWDBWeW1PYV80eE5oZ09ybkFRbGF1Vk9hWWEtQUVCUklaby1TaU1rQnY2bkF1Snk1ZkJ6WmwzeGF5cUZseUNWOGdUVVJRcGxnTnQ2akd0THNRUEZEbGhuMjBJQnN4UklzUUN6eEp6RURyTU4wZm13dE9KRnJQSnFFd21aejRJSU5telg5TDVSa293SHI1MEhkMU10dTA3REhJb0k1Rk85QU54VnBMak5XajhfcjYwWDV0ZkR0U0hZemhsQTdOMUhHRTlXUl9BYnk4V2t3NW94VGxrdjh6cGZkdzdabjZsZw?oc=5
2024-01-05 08:00:00,"Prisões por reconhecimento facial avançam pelo país, mas erros em série desafiam tecnologia de combate ao crime - O Globo",https://news.google.com/rss/articles/CBMi-wFBVV95cUxOTlo3ZS1Lc2NXeUNmWlRwNS0wdTlwNEp2YzQ2MTMwbUlhVVIxelVLVEFCZEhQMkN1SEVKTEc2NlhwbW9pVWFhTWlaVVl1WDJMS3h2Q0taRTdFYWtoVEl6c2RyY1BPaDlZTG5zVkpkUzhCR1k0bGZwcC14MXdPMGFWM3RGbVZCM3c3WFFoVW8tX1dob0t3Z0lDRWE0eHhIVUctbnE2UXZZU1dBXzBGenFsSDdjQjZsM2pBS0tlTXlpdnYwanZ3STZkOWVncmhqbEotZ0w0MkNaQldhc3N5R0k5TDByeU9IREQ5RTNtSFh0NXhILUpONmFHZ2hnY9IBigJBVV95cUxPZzJsT3F3eG5YZlVQV2sxM3RCZk82SzhSQVh3RnhvaVJSQmhndVNOMGxsVXRRcG51cTA1NlVpSVFQZmw5ekRmcmdwWEduZVprRkNlRHUwejEyMGQ3NnJxUl9vLTZPdllkb1lCY2ZQMWJRWXlISUpKcXE2dVN6NnZ3N1JORjkwNmpscFJzQ25IUFJwVFlldU9nX1dYVXpqenk1cXdCdDV5UUtRdDh3TVFPb0dqT0dxOGJGbUd1UFJFV2UwMEU2MFNlNXRPY1RUQkhSSGZYc1lFMXFmUzE2OFZNc09oTG9YUlNGWWlSS2JORm9pTHRYR1ktVnZWdWl5X04wbF9RMEpkM3NUZw?oc=5
