titulo,link,data_publicacao,fonte
Inteligências artificiais têm dificuldade em reconhecer pessoas de pele escura,https://www.gazetadopovo.com.br/economia/quando-o-robo-nao-reconhece-a-pele-escura-dj1czox8aebwgvru2jzvveyze/,29 de jun. de 2018,Gazeta do Povo
Google conserta seu algoritmo “racista” apagando os gorilas,https://brasil.elpais.com/brasil/2018/01/14/tecnologia/1515955554_803955.html,16 de jan. de 2018,El País Brasil
MPDFT investiga empresas que vendem serviço de reconhecimento facial,https://agenciabrasil.ebc.com.br/geral/noticia/2018-08/mpdft-investiga-empresas-que-vendem-servico-de-reconhecimento-facial,16 de ago. de 2018,Agência Brasil
A importância da data está no reconhecimento dos descendentes africanos na constituição e construção da sociedade,https://www.defensoria.rs.def.br/a-importancia-da-data-esta-no-reconhecimento-dos-descendentes-africanos-na-constituicao-e-construcao-da-sociedade,20 de nov. de 2018,www.defensoria.rs.def.br
Preconceito das máquinas: como algoritmos podem ser racistas e machistas,https://www.uol.com.br/tilt/noticias/redacao/2018/04/24/preconceito-das-maquinas-como-algoritmos-tomam-decisoes-discriminatorias.htm,24 de abr. de 2018,UOL
Inteligência artificial: Por que as tecnologias de reconhecimento facial são tão contestadas,https://www.bbc.com/portuguese/geral-48889883,5 de jul. de 2019,BBC
Cerca de 90% das pessoas presas com uso de reconhecimento facial são negras,https://www.brasildefato.com.br/2019/11/27/cerca-de-90-das-pessoas-presas-com-uso-de-reconhecimento-facial-sao-negras/,27 de nov. de 2019,Brasil de Fato
Amazon trabalha em legislação para reconhecimento facial,https://forbes.com.br/colunas/2019/10/amazon-trabalha-em-legislacao-para-reconhecimento-facial/,3 de out. de 2019,Forbes Brasil
"Tecnologia de reconhecimento facial apresenta viés e imprecisão, aponta estudo do governo dos EUA",https://g1.globo.com/economia/tecnologia/noticia/2019/12/20/tecnologia-de-reconhecimento-facial-apresenta-vies-e-imprecisao-aponta-estudo-do-governo-dos-eua.ghtml,20 de dez. de 2019,G1
“Racismo algorítmico”: pesquisador mostra como os algoritmos podem discriminar,https://www.rfi.fr/br/brasil/20190806-racismo-algoritmico-pesquisador-mostra-como-os-algoritmos-podem-discriminar,6 de ago. de 2019,RFI
Reino Unido usa reconhecimento facial ‘racista’ em passaportes,https://olhardigital.com.br/2019/10/10/noticias/reino-unido-usa-reconhecimento-facial-racista-em-passaportes/,10 de out. de 2019,Olhar Digital
O racismo por trás dos filtros do FaceApp e de outras tecnologias,https://noticias.r7.com/tecnologia-e-ciencia/o-racismo-por-tras-dos-filtros-do-faceapp-e-de-outras-tecnologias-19072019/,19 de jul. de 2019,R7
Algoritmos reproduzem machismo e racismo por se basearem em práticas discriminatórias dos humanos,https://oglobo.globo.com/economia/algoritmos-reproduzem-machismo-racismo-por-se-basearem-em-praticas-discriminatorias-dos-humanos-24085081,17 de nov. de 2019,O Globo
Artigo | Políticas de comunicação e racismo 18 anos após Declaração de Durban,https://www.brasildefato.com.br/2019/12/10/artigo-or-politicas-de-comunicacao-e-racismo-18-anos-apos-declaracao-de-durban/,10 de dez. de 2019,Brasil de Fato
Artigo | O racismo que estrutura as tecnologias digitais de informação e comunicação,https://www.brasildefato.com.br/2019/12/03/artigo-or-o-racismo-que-estrutura-as-tecnologias-digitais-de-informacao-e-comunicacao/,3 de dez. de 2019,Brasil de Fato
ONU: algoritmos racistas aumentam discriminação racial por serviços de segurança,https://oglobo.globo.com/celina/onu-algoritmos-racistas-aumentam-discriminacao-racial-por-servicos-de-seguranca-24768880,29 de nov. de 2020,O Globo
Empresas abandonam reconhecimento facial por identificações equivocadas,https://veja.abril.com.br/tecnologia/empresas-abandonam-reconhecimento-facial-por-identificacoes-equivocadas/,19 de jun. de 2020,VEJA
"Universidade Federal de Minas Gerais - Racismo nas redes sociais é tema de entrevista no programa Expresso 104,5",https://ufmg.br/comunicacao/noticias/racismo-nas-redes-sociais-e-tema-de-entrevista-no-programa-expresso-104-5,23 de set. de 2020,UFMG - Universidade Federal de Minas Gerais
"Impreciso com negros, reconhecimento facial da Amazon é suspenso",https://exame.com/tecnologia/impreciso-com-negros-sistema-de-reconhecimento-facial-da-amazon-e-suspenso/,11 de jun. de 2020,Exame
"O reconhecimento facial é racista? Uma questão para IBM, Microsoft e Amazon",https://neofeed.com.br/inovacao/o-reconhecimento-facial-e-racista-uma-questao-para-ibm-microsoft-e-amazon/,12 de jun. de 2020,NeoFeed
Riscos da inteligência artificial levantam alerta e suscitam respostas,https://agenciabrasil.ebc.com.br/geral/noticia/2020-08/riscos-da-inteligencia-artificial-levantam-alerta-e-suscitam-respostas,1 de set. de 2020,Agência Brasil
Timnit Gebru: quem é a funcionária do Google demitida após acusar empresa de racismo e censura,https://www.bbc.com/portuguese/geral-55195078,4 de dez. de 2020,BBC
Artigo: O pacto narcísico da branquitude e o dilema social,https://www.cartacapital.com.br/blogs/intervozes/artigo-o-pacto-narcisico-da-branquitude-e-o-dilema-social/,30 de set. de 2020,CartaCapital
Twitter se desculpa por ‘algoritmo racista’,https://oglobo.globo.com/economia/tecnologia/twitter-se-desculpa-por-algoritmo-racista-24652125,21 de set. de 2020,O Globo
"Sistema de reconhecimento facial erra, e homem negro é preso por engano",https://www.uol.com.br/tilt/noticias/redacao/2020/06/25/homem-e-preso-apos-erro-de-tecnologia-de-reconhecimento-facial-nos-eua.htm,25 de jun. de 2020,UOL
"Usado para detectar a Covid-19, oxímetro é alvo de discriminação racial",https://olhardigital.com.br/2020/08/07/noticias/usado-para-detectar-a-covid-19-oximetro-e-alvo-de-discriminacao-racial/,7 de ago. de 2020,Olhar Digital
Twitter diz que irá analisar algoritmo de prévia de imagens após queixas de racismo por usuários,https://g1.globo.com/economia/tecnologia/noticia/2020/09/21/executivos-do-twitter-dizem-que-irao-analisar-possivel-vies-discriminatorio-em-algoritmo-de-previa-de-imagens.ghtml,21 de set. de 2020,G1
Qual o impacto da tecnologia de reconhecimento facial na população negra?,https://jornal.usp.br/ciencias/qual-o-impacto-da-tecnologia-de-reconhecimento-facial-na-populacao-negra/,4 de mai. de 2021,Jornal da USP
"Sob críticas por viés racial, reconhecimento facial chega a 20 estados",https://www1.folha.uol.com.br/cotidiano/2021/07/sob-criticas-por-vies-racial-reconhecimento-facial-chega-a-20-estados.shtml,9 de jul. de 2021,Folha de S.Paulo
"'Se você denuncia machismo e racismo, é tratada como louca', diz Timnit Gebru",https://www.bbc.com/portuguese/internacional-58507638,9 de set. de 2021,BBC
Facebook cria banco de dados para remover preconceito da inteligência artificial,https://www.cnnbrasil.com.br/tecnologia/facebook-cria-banco-de-dados-para-remover-preconceito-da-inteligencia-artificial/,9 de abr. de 2021,CNN Brasil
Racismo algorítmico: a inteligência artificial a serviço da discriminação,https://www.correiobraziliense.com.br/opiniao/2021/01/4902182-racismo-algoritmico-a-inteligencia-artificial-a-servico-da-discriminacao.html,23 de jan. de 2021,Correio Braziliense
Cufa fez cadastramento facial de pessoas em favelas; tecnologia pode promover racismo,https://www.brasildefato.com.br/2021/04/26/cufa-fez-cadastramento-facial-de-pessoas-em-favelas-tecnologia-pode-promover-racismo/,26 de abr. de 2021,Brasil de Fato
